package_id,scope,selection,status,expected_version_name,expected_version_code,actual_version_name,actual_version_code,source,source_url,download_locator,requested_architecture,artifact_path,artifact_type,file_size_bytes,sha256,split_count,splits,architectures,signature_status,signer_certificate_sha256,technology,flutter_architectures,flutter_arm64_status,fallback_artifact_path,fallback_version_name,fallback_version_code,fallback_architectures,fallback_sha256,detail,cutoff_date
air.no.jensen.adjustablesleep,baseline,download_google_play,downloaded,2.0.29,,2.0.29,98,Google Play,https://play.google.com/store/apps/details?id=air.no.jensen.adjustablesleep&hl=en&gl=us,apkeep 1.0.0; existing Google Play acquisition,,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,split_apk_set,38924405,313a6bd5752b80defd9959c2301e76f14823f3b46196e691517facbf1b9d02b0,5,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.apk; air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.arm64_v8a.apk; air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.en.apk; air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.nb.apk; air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.xxhdpi.apk,arm64-v8a,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,native_or_managed,,not_flutter,,,,,,Google Play reports 2.0.29; APKPure reports 17.01.052,2026-07-14
cn.com.mancini,baseline,download_google_play,downloaded,1.0.5,,1.0.5,5,Google Play,https://play.google.com/store/apps/details?id=cn.com.mancini&hl=en&gl=us,apkeep 1.0.0; existing Google Play acquisition,,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/cn.com.mancini,split_apk_set,9062570,3ab9ad019047f20a7a71f8563e5c0be9a855e3c20cae2f50957a3cbb90b63b47,4,cn.com.mancini/cn.com.mancini.apk; cn.com.mancini/cn.com.mancini.config.en.apk; cn.com.mancini/cn.com.mancini.config.nb.apk; cn.com.mancini/cn.com.mancini.config.xxhdpi.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 40e19e37ac533b2eec956c025e536daf6f90756794dc8e5757ab4631efad9b7d,native_or_managed,,not_flutter,,,,,,Google Play reports 1.0.5; APKPure reports 1.0.2,2026-07-14
cn.com.somos,baseline,reuse_local,reused_current,1.0.0,1,1.0.0,1,APKPure,https://apkpure.com/somosbeds/cn.com.somos,,,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk,xapk,6059159,5488ea9f3db6137b31eeb3b23c75f8e1ef602a7b21488442480feeef4d7279be,4,base=cn.com.somos.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk; config.zh=config.zh.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c66c55d054e64490330d59c688ee75f4414c248c4589ec43dc0b34f40d2d20aa,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.bedding.monitor.sleep_monitor.release,baseline,reuse_local,reused_current,2.4.9,263,2.4.9,263,APKPure,https://apkpure.com/okin-smart-sleep/com.bedding.monitor.sleep_monitor.release,,,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,xapk,126461389,92e4bc4925494f66ef820cf5cdd334b2faba4443c800e664658d7165af0eb4c6,5,base=com.bedding.monitor.sleep_monitor.release.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,flutter,arm64-v8a,present,,,,,,,2026-07-14
com.bedjet,baseline,reuse_local,reused_current,1.0.6,18,1.0.6,18,APKPure,https://apkpure.com/bedjet-3-smart-remote/com.bedjet,,,disassembly/apk/analyzed/BedJet 3 Smart Remote_1.0.6_APKPure.xapk,xapk,19061218,d1294a23fcde028d53fc364dd97853aeb67aa23e9477aabd00942f9a623c71f7,3,base=com.bedjet.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 426bc5240858bba6a0d7b688e5496458a74d0591eb891269d5030a9e29b8d73c,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.bedjet.bedjet,discovered_likely_ble,download_apkpure,downloaded,1.2.11,54,1.2.11,54,APKPure,https://apkpure.com/bedjet-app-old/com.bedjet.bedjet,apkeep 1.0.0; existing APKPure acquisition,,disassembly/apk/not-analyzed/acquired-2026-07-14/apkpure/com.bedjet.bedjet/com.bedjet.bedjet@1.2.11.apk,apk,6533848,8c5c7ea547c9645668fc811a4256d5dc998b34ddf4608b7e74d3a9beb23cf077,1,com.bedjet.bedjet@1.2.11.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; fc70c04928e29720b67d53f1ef6899bbb153369349d089d1b0c500bdcc78390a,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.bedtech,baseline,reuse_local,reused_current,7.1.3,14,7.1.3,14,APKPure,https://apkpure.com/bedtech/com.bedtech,,,disassembly/apk/analyzed/BedTech_7.1.3_com.bedtech.xapk,xapk,16960222,0d529e90a1d134c9f2e1ff5d3966616ec8f4c01ec63d7e9e79974d8f7e2137a2,5,base=com.bedtech.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,verified,1558f61ce73d552d0a10dd08cfcdc2f52287c4e78eb9e582da532a5c2dfa6602; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.BF,baseline,reuse_local,reused_current,1.2.3,11,1.2.3,11,APKPure,https://apkpure.com/la-cloud-%EB%9D%BC%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%A0%84%EB%8F%99%EC%B9%A8%EB%8C%80/com.BF,,,disassembly/apk/analyzed/dewertokin/com.BF.apk,apk,5850134,64982c7a35fed0c902061b7b0f732b15798a38688119c1d92d343052781a83d1,1,com.BF.apk,,verified,52c12135ce632f8e4e5b7069e1deec48d11d8bbe09a38184c72f80ce6425e1ff,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.cheers.brick,baseline,reuse_local,reused_current,v1.0,,v1.0,3,Google Play,https://play.google.com/store/apps/details?id=com.cheers.brick&hl=en&gl=us,,,disassembly/apk/analyzed/The Brick_1.0_com.cheers.brick.xapk,xapk,12406837,e626a20711b62ce808ebe2b01c2b25bb1de727c4fc73dff658801734acd421f6,3,base=com.cheers.brick.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 6f1212f5fdcb0eabc57494a7e624800531dd479748718e89af936443298880c8,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.cheers.jewmes,baseline,reuse_local,reused_current,v1.202112141512,20,v1.202112141512,20,APKPure,https://apkpure.com/jeromes/com.cheers.jewmes,,,disassembly/apk/analyzed/Jeromes_1.202112141512_com.cheers.jewmes.xapk,xapk,7503964,6eb3487eca7bc7e792dba20e0efb4a2004707e66f56a9b8bec56e58a1579f8c0,4,base=com.cheers.jewmes.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk; config.fr=config.fr.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; f14febab5114924f7f32e6cf29047cd693b795420cc2340dc69fbb5cd4054e3f,native_or_managed,,not_flutter,,,,,,,2026-07-14
com.cheers.sleep,discovered_likely_ble,download_google_play,downloaded,v2.7.0,,v2.7.0,40,Google Play,https://play.google.com/store/apps/details?id=com.cheers.sleep,apkeep 1.0.0; existing Google Play acquisition,,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/com.cheers.sleep,split_apk_set,8521225,fe9a25a35cb31ec82de59c270113e2909b7d2afd5448b7865324f0e19d1f5e8a,4,com.cheers.sleep/com.cheers.sleep.apk; com.cheers.sleep/com.cheers.sleep.config.en.apk; com.cheers.sleep/com.cheers.sleep.config.nb.apk; com.cheers.sleep/com.cheers.sleep.config.xxhdpi.apk,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c4547c905b0a0acec719320a8e9c60ccf477052a781cb6c7616d001f947c7bd4,native_or_managed,,not_flutter,,,,,,,2026-07-14
