package_id,artifact_path,member_path,file_size_bytes,sha256,embedded_package_id,package_version_name,package_version_code,architectures,signature_status,signer_certificate_sha256,resource_entry_count,native_library_count,flutter_architectures,error
air.no.jensen.adjustablesleep,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.apk,13621241,4de4ad4e450ae18b84b031549e50e28955b2dba4fea4fe9835a6d4531edeb849,air.no.jensen.adjustablesleep,2.0.29,98,,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,556,0,,
air.no.jensen.adjustablesleep,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.arm64_v8a.apk,24863448,b822709d4cb116374f2f5e87f53125075440d5502a2827e2a28cf3355b1d94f8,air.no.jensen.adjustablesleep,,98,arm64-v8a,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,0,55,,
air.no.jensen.adjustablesleep,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.en.apk,37273,3020588549060da2e00aefe29805bedb97712e6ff4f19570670b38c48cfdc0e4,air.no.jensen.adjustablesleep,,98,,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,1,0,,
air.no.jensen.adjustablesleep,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.nb.apk,20889,7f07cfaf7a74f9ae04755d7e8a2d258ec9d6c1a743b9e09aa313837b51b9460c,air.no.jensen.adjustablesleep,,98,,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,1,0,,
air.no.jensen.adjustablesleep,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/air.no.jensen.adjustablesleep,air.no.jensen.adjustablesleep/air.no.jensen.adjustablesleep.config.xxhdpi.apk,381554,f0bf5c4e642476e98ae000258b028c82d21e402ea849dc0990d006b6a0be5eba,air.no.jensen.adjustablesleep,,98,,verified,05cb512f85744e687d6fad5325d11ff48f2b2cae6329bcea529b953330e61f5d; 3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d,42,0,,
cn.com.mancini,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/cn.com.mancini,cn.com.mancini/cn.com.mancini.apk,8924510,5da078b44e9cd841d30c2c67ba52305297b0c4cfe2079a4c7761675a4d124ef5,cn.com.mancini,1.0.5,5,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 40e19e37ac533b2eec956c025e536daf6f90756794dc8e5757ab4631efad9b7d,533,0,,
cn.com.mancini,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/cn.com.mancini,cn.com.mancini/cn.com.mancini.config.en.apk,37273,614074a821c850b3e725c13d57af32ccf88838a0bc65d357a0493b7ec6658e62,cn.com.mancini,,5,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 40e19e37ac533b2eec956c025e536daf6f90756794dc8e5757ab4631efad9b7d,1,0,,
cn.com.mancini,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/cn.com.mancini,cn.com.mancini/cn.com.mancini.config.nb.apk,24985,c9dfe9919fda212676b571571147c5fa997dde4f343daed525a0f27ca3e0fa2e,cn.com.mancini,,5,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 40e19e37ac533b2eec956c025e536daf6f90756794dc8e5757ab4631efad9b7d,1,0,,
cn.com.mancini,disassembly/apk/not-analyzed/acquired-2026-07-14/google-play/cn.com.mancini,cn.com.mancini/cn.com.mancini.config.xxhdpi.apk,75802,7c087df338072fc92be284ae109daa81116f80e57a0c64147c2b899457fbb628,cn.com.mancini,,5,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; 40e19e37ac533b2eec956c025e536daf6f90756794dc8e5757ab4631efad9b7d,56,0,,
cn.com.somos,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk,cn.com.somos.apk,5927668,f1f9bbc783a2a236f931a2b9c4805f3eebab62a5cb2c42287c4dc7c11655408a,cn.com.somos,1.0.0,1,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c66c55d054e64490330d59c688ee75f4414c248c4589ec43dc0b34f40d2d20aa,547,0,,
cn.com.somos,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk,config.en.apk,41369,4ae220ff45af7b64678958788b44a1be4fb3124b3b848fa6c653bb2244990a0e,cn.com.somos,,1,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c66c55d054e64490330d59c688ee75f4414c248c4589ec43dc0b34f40d2d20aa,1,0,,
cn.com.somos,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk,config.mdpi.apk,35969,54a85e011d1cb499617268d305cc4e10888fb5974d76081ce1aa80b806c89a9a,cn.com.somos,,1,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c66c55d054e64490330d59c688ee75f4414c248c4589ec43dc0b34f40d2d20aa,28,0,,
cn.com.somos,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk,config.zh.apk,33177,dcf0dedc549fe251c10b89ea90b76ee98ece94754442a07aeeb509ef1878c05c,cn.com.somos,,1,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; c66c55d054e64490330d59c688ee75f4414c248c4589ec43dc0b34f40d2d20aa,1,0,,
com.bedding.monitor.sleep_monitor.release,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,com.bedding.monitor.sleep_monitor.release.apk,106261279,0cbbb8ae302646c283cabb2b07d7fe1e85f7a5973e8c669a87b7391cd0741966,com.bedding.monitor.sleep_monitor.release,2.4.9,263,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,219,0,,
com.bedding.monitor.sleep_monitor.release,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,config.arm64_v8a.apk,20058693,2a2b71210a9e16e6340673ee0c47efe08ba3585feb515a10aa5efba9f688efe8,com.bedding.monitor.sleep_monitor.release,,263,arm64-v8a,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,0,3,arm64-v8a,
com.bedding.monitor.sleep_monitor.release,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,config.en.apk,45465,1ae45f31998eb4eda4c369a035d395a62f1e63b9022f30106727093383d9a37c,com.bedding.monitor.sleep_monitor.release,,263,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,1,0,,
com.bedding.monitor.sleep_monitor.release,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,config.fr.apk,24985,ea8963b70efae13dd832dac92000cddaca9ac7b83c20692f15b055f58147698b,com.bedding.monitor.sleep_monitor.release,,263,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,1,0,,
com.bedding.monitor.sleep_monitor.release,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,config.mdpi.apk,68849,7b8b84bf802d8c97fe7261b159c6387d02f3156575cee69fb1e03b1dfef76778,com.bedding.monitor.sleep_monitor.release,,263,,verified,3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d; da0e548f42c33592c1c937762db120b41d15631fd349f65f29739f50fcaa84d2,69,0,,
