source_path,archive_type,file_size_bytes,sha256,status,error,warnings,application_name,package_id,version_name,version_code,min_sdk_version,target_sdk_version,split_count,splits,architectures,identical_file_count,package_version_record_count,package_version_distinct_file_count,package_has_multiple_versions
disassembly/apk/analyzed/1500 Tilt Base Remote_1.1.3_com.BF.apk,apk,22583175,27e4d6475de2bbe8f8194306b922841ee3fc078a4c04f3158c637aa13c9ba3c1,ok,,,1500 Tilt Base Remote,com.sfd.rondure_hump,1.1.3,29,21,34,0,,arm64-v8a; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/Adjustable bed_1.1_com.okin.bedding.adjustbed.xapk,xapk,69973022,8042f82558322f849bca5cfe7188b3d715abc939abecbf53d736311281e2a4fd,ok,,,Adjustable bed,com.okin.bedding.adjustbed,1.1,27,24,36,20,base=com.okin.bedding.adjustbed.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.ja=config.ja.apk; config.pt=config.pt.apk; config.th=config.th.apk; config.xhdpi=config.xhdpi.apk; config.arm64_v8a=config.arm64_v8a.apk; config.en=config.en.apk; config.es=config.es.apk; config.hi=config.hi.apk; config.de=config.de.apk; config.my=config.my.apk; config.vi=config.vi.apk; config.zh=config.zh.apk; config.ru=config.ru.apk; config.fr=config.fr.apk; config.in=config.in.apk; config.it=config.it.apk; config.ko=config.ko.apk,arm64-v8a,2,2,1,False
disassembly/apk/analyzed/Adjustable Lite_1.0.1_com.keeson.adjustablelite.xapk,xapk,5299481,e1ed54dc0b0652ff9ec2edf429e56d385939b94e2bad8172bee526f1b54ea21f,ok,,,Adjustable Lite,com.keeson.adjustablelite,1.0.1,4,21,34,5,base=com.keeson.adjustablelite.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk; config.zh=config.zh.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/Adjustable Sleep_17.01.052_air.no.jensen.adjustablesleep.apk,apk,25161063,9df337d9d0cab171abe691384dd75a475326f2f99cb03442ddbf49673c0989aa,ok,,,Adjustable,air.no.jensen.adjustablesleep,17.01.052,17001052,19,21,0,,armeabi-v7a,1,1,1,False
disassembly/apk/analyzed/Adjustable+Comfort+M1X12_1.1.3_APKPure.xapk,xapk,39578662,74b77151ee7322574f46499bbcb3d95792ccbf3c9f208f19117eb9b59378e4a5,ok,,,AdjustableM1X12,com.starcode.adjustablem1x12,1.1.3,6,24,36,20,base=com.starcode.adjustablem1x12.apk; config.xxhdpi=config.xxhdpi.apk; config.ja=config.ja.apk; config.de=config.de.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.ar=config.ar.apk; config.fr=config.fr.apk; config.tr=config.tr.apk; config.es=config.es.apk; config.it=config.it.apk; config.pt=config.pt.apk; config.ru=config.ru.apk; config.my=config.my.apk; config.en=config.en.apk; config.zh=config.zh.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/AHF Remote_1.0.4_com.timotion.ahf.xapk,xapk,2832479,7d8560decebea782a4cdc98458641ce6263b01ea7fffd6f86a15f167cd42e348,ok,,,AHF Remote,com.timotion.ahf,1.0.4,7,26,35,5,base=com.timotion.ahf.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/Axis Drive Bed Control_3.3.6_com.hettich.hettich.apk,apk,25063580,678a2e5bb03dde8fa5b1728f37871649c0524f81f48b425c0c6f0f19dd20fb77,ok,,,AxisDrive Bed Control,com.hettich.hettich,3.3.6,8,21,30,0,,arm64-v8a; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/Beautyrest Black_1.2.1_APKPure.apk,apk,9931482,3e17770902b821429f0fc6fd5b931c9ca4f9247a0e4d30835179e813e8c3e34c,ok,,,Beautyrest BLACK,com.keeson.beautyrestblack,1.2.1,18,21,34,0,,arm64-v8a; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/BedJet 3 Smart Remote_1.0.6_APKPure.xapk,xapk,19061218,d1294a23fcde028d53fc364dd97853aeb67aa23e9477aabd00942f9a623c71f7,ok,,,BedJet,com.bedjet,1.0.6,18,21,35,3,base=com.bedjet.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk,,1,1,1,False
disassembly/apk/analyzed/BedTech_7.1.3_com.bedtech.xapk,xapk,16960222,0d529e90a1d134c9f2e1ff5d3966616ec8f4c01ec63d7e9e79974d8f7e2137a2,ok,,,BedTech,com.bedtech,7.1.3,14,21,34,5,base=com.bedtech.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
