package_id,application_names,archive_count,distinct_file_count,local_version_count,versions,latest_local_version_name,latest_local_version_code,archive_types,architectures,source_paths
air.no.jensen.adjustablesleep,Adjustable,1,1,1,17.01.052 (17001052),17.01.052,17001052,apk,armeabi-v7a,disassembly/apk/analyzed/Adjustable Sleep_17.01.052_air.no.jensen.adjustablesleep.apk
cn.com.mancini,Ergomotion Sync,1,1,1,1.0.2 (4),1.0.2,4,xapk,,disassembly/apk/analyzed/Ergomotion Sync_1.0.2_APKPure.xapk
cn.com.somos,Somos,1,1,1,1.0.0 (1),1.0.0,1,xapk,,disassembly/apk/analyzed/SomosBeds_1.0.0_cn.com.somos.xapk
com.BF,La Cloud,1,1,1,1.2.3 (11),1.2.3,11,apk,,disassembly/apk/analyzed/dewertokin/com.BF.apk
com.HHC.MotoSleep,MotoSleep,1,1,1,5.0.6 (2026010401),5.0.6,2026010401,xapk,arm64-v8a,disassembly/apk/analyzed/MotoSleep_5.0.6_com.HHC.MotoSleep.xapk
com.HHC.PowerBob,Power Bob,1,1,1,2.0.3 (2025061101),2.0.3,2025061101,apk,arm64-v8a; armeabi-v7a; x86_64,disassembly/apk/analyzed/Power Bob for Adjustable Bed_2.0.3_com.HHC.PowerBob.apk
com.bedding.monitor.sleep_monitor.release,OKIN SMART SLEEP,1,1,1,2.4.9 (263),2.4.9,263,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk
com.bedjet,BedJet,1,1,1,1.0.6 (18),1.0.6,18,xapk,,disassembly/apk/analyzed/BedJet 3 Smart Remote_1.0.6_APKPure.xapk
com.bedtech,BedTech,1,1,1,7.1.3 (14),7.1.3,14,xapk,arm64-v8a,disassembly/apk/analyzed/BedTech_7.1.3_com.bedtech.xapk
com.cheers.brick,The Brick,1,1,1,v1.0 (3),v1.0,3,xapk,,disassembly/apk/analyzed/The Brick_1.0_com.cheers.brick.xapk
com.cheers.jewmes,Jeromes,1,1,1,v1.202112141512 (20),v1.202112141512,20,xapk,,disassembly/apk/analyzed/Jeromes_1.202112141512_com.cheers.jewmes.xapk
com.cheers.slumber,slumberland,1,1,1,v1.0 (2),v1.0,2,xapk,,disassembly/apk/analyzed/Slumberland_1.0_com.cheers.slumber.xapk
com.desarketing.gmmotor,GM Bed Control; GM Control,3,3,3,3.0.5 (8); 3.0.33 (36); 4.6.0 (46001),4.6.0,46001,apk; xapk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Germany Motions GM Bed Control_3.0.33_com.desarketing.gmmotor.xapk; disassembly/apk/analyzed/Germany Motions GM Bed Control_3.0.5_com.desarketing.gmmotor.apk; disassembly/apk/analyzed/Germany Motions GM Bed Control_4.6.0_com.desarketing.gmmotor.xapk
com.dewertokin.okinsmartcomfort,FurniMove,1,1,1,2.0.1 (18),2.0.1,18,xapk,,disassembly/apk/analyzed/FurniMove_2.0.1_com.dewertokin.okinsmartcomfort.xapk
com.hettich.hettich,AxisDrive Bed Control,1,1,1,3.3.6 (8),3.3.6,8,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Axis Drive Bed Control_3.3.6_com.hettich.hettich.apk
com.intretech.app.suta,SUTA,1,1,1,1.0.3 (3),1.0.3,3,apk,armeabi,disassembly/apk/analyzed/SUTA_1.0.3_com.shuta.suta_old.apk
com.jiecang.app.android.jiecangbed,Comfort Motion,1,1,1,2.1.6 (23),2.1.6,23,xapk,arm64-v8a,disassembly/apk/analyzed/Comfort Motion_2.1.6_com.jiecang.app.android.jiecangbed.xapk
com.kaidi_test4,Isleep,1,1,1,1.6.3 (45),1.6.3,45,xapk,arm64-v8a,disassembly/apk/analyzed/ISleep_1.6.3_com.kaidi_test4.xapk
com.kaidi_test4.floyd,Floyd Home,1,1,1,1.0.7 (7),1.0.7,7,xapk,arm64-v8a,disassembly/apk/analyzed/Floyd_1.0.7_com.kaidi_test4.floyd.xapk
com.kaidi_test4.rize,Rize Beds,1,1,1,1.3.0 (48),1.3.0,48,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Rize Beds_1.3.0_com.kaidi_test4.rize.apk
com.keeson.adjustablelite,Adjustable Lite,1,1,1,1.0.1 (4),1.0.1,4,xapk,arm64-v8a,disassembly/apk/analyzed/Adjustable Lite_1.0.1_com.keeson.adjustablelite.xapk
com.keeson.agingplace,Dawn House,1,1,1,1.0.9 (82),1.0.9,82,apk,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Dawn House_1.0.9_APKPure.apk
com.keeson.beautyrestblack,Beautyrest BLACK,1,1,1,1.2.1 (18),1.2.1,18,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Beautyrest Black_1.2.1_APKPure.apk
com.keeson.connectedbed,Linx,1,1,1,1.0.7 (27),1.0.7,27,apk,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Linx_1.0.7_APKPure.apk
