package_id,title,developer,developer_id,play_url,relevance,reason,play_status,play_version,play_updated,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,cross_check,blocker
at.logicdata.motionatwork,MOTION@work,LOGICDATA Electronic & Software Entwicklungs GmbH,/store/apps/developer?id=LOGICDATA+Electronic+%26+Software+Entwicklungs+GmbH,https://play.google.com/store/apps/details?id=at.logicdata.motionatwork,not_bed_app,user-confirmed non-bed app,available,3.0.2,2024-05-16,available,3.0.2,3000303,2024-06-26,arm64-v8a,https://apkpure.com/motion-work/at.logicdata.motionatwork,3.0.2,3000303,matched,
com.HHC.MotoMotion,MotoMotion,MotoMotion China Corporation,/store/apps/dev?id=7229376649823829947,https://play.google.com/store/apps/details?id=com.HHC.MotoMotion,likely_bed_app,package or title contains a bed-control indicator,available,3.1.9,2026-05-11,available,3.1.9,2026051101,2026-06-04,arm64-v8a,https://apkpure.com/motomotion/com.HHC.MotoMotion,3.1.9,2026051101,matched,
com.bedjet.bedjet,BedJet App (OLD),BEDJET LLC,/store/apps/developer?id=BEDJET+LLC,https://play.google.com/store/apps/details?id=com.bedjet.bedjet,likely_bed_app,package or title contains a bed-control indicator,available,1.2.11,2022-02-17,available,1.2.11,54,2022-03-16,universal,https://apkpure.com/bedjet-app-old/com.bedjet.bedjet,1.2.11,54,matched,
com.bedjet.vetremote,VET Animal Warmer - BedJet,BEDJET LLC,/store/apps/developer?id=BEDJET+LLC,https://play.google.com/store/apps/details?id=com.bedjet.vetremote,not_bed_app,animal warmer controller,available,1.3,2017-09-08,available,1.3,11,2018-01-21,universal,https://apkpure.com/vet-animal-warmer-bedjet/com.bedjet.vetremote,1.3,11,matched,
com.cheers.sleep,CheersSleep,"Remacro Technology Co., Ltd.","/store/apps/developer?id=Remacro+Technology+Co.,+Ltd.",https://play.google.com/store/apps/details?id=com.cheers.sleep,likely_bed_app,package or title contains a bed-control indicator,available,v2.7.0,2026-06-11,unavailable,,,2025-05-25,,https://apkpure.com/cheerssleep/com.cheers.sleep,v2.7.0,,google_play_only,
com.desarketing.ruf_betten_motor2,RUF Betten Motor2,Germany SA,/store/apps/developer?id=Germany+SA,https://play.google.com/store/apps/details?id=com.desarketing.ruf_betten_motor2,likely_bed_app,package or title contains a bed-control indicator,available,1.1.8,2025-11-05,available,1.1.6,9,2024-12-05,universal,https://apkpure.com/ruf-betten-motor2/com.desarketing.ruf_betten_motor2,1.1.8,,version_mismatch,Google Play reports 1.1.8; APKPure reports 1.1.6
com.dot.bedding.sleepspa.sleep_spa,Sleep Spa Technology,star_seeds,/store/apps/developer?id=star_seeds,https://play.google.com/store/apps/details?id=com.dot.bedding.sleepspa.sleep_spa,likely_bed_app,package or title contains a bed-control indicator,available,1.3.7,2026-04-22,removed,,,,,,1.3.7,,google_play_only,
com.dreamhd.jiecang.android.pad.bed,Dream Motion HD,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.dreamhd.jiecang.android.pad.bed,likely_bed_app,package or title contains a bed-control indicator,available,1.0.3,2026-03-24,removed,,,,,,1.0.3,,google_play_only,
com.fenmenbielei.bedsense,BedSense,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.fenmenbielei.bedsense,likely_bed_app,package or title contains a bed-control indicator,available,1.8,2026-03-12,available,1.8,18,2026-03-20,universal,https://apkpure.com/bedsense/com.fenmenbielei.bedsense,1.8,18,matched,
com.germany.dorsal,DORSAL,Germany SA,/store/apps/developer?id=Germany+SA,https://play.google.com/store/apps/details?id=com.germany.dorsal,likely_bed_app,package or title contains a bed-control indicator,available,1.0.3,2025-05-19,available,1.0.3,310300,,arm64-v8a; armeabi-v7a,https://apkpure.com/dorsal/com.germany.dorsal,1.0.3,310300,matched,
com.jiecang.app.android.aidesks,AiDesk,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.app.android.aidesks,not_bed_app,desk/workplace controller,available,5.1.8,2026-04-03,available,5.1.8,70,2026-04-17,arm64-v8a; armeabi-v7a,https://apkpure.com/aidesk/com.jiecang.app.android.aidesks,5.1.8,70,matched,
com.jiecang.app.android.aidesksbooking,AiBooking,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.app.android.aidesksbooking,not_bed_app,desk/workplace controller,available,2.3.3,2026-03-26,available,2.2.2,29,2025-09-21,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/aibooking/com.jiecang.app.android.aidesksbooking,2.3.3,,version_mismatch,Google Play reports 2.3.3; APKPure reports 2.2.2
com.jiecang.dreamask.app.android.bed,ERGOBALANCE,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.dreamask.app.android.bed,likely_bed_app,package or title contains a bed-control indicator,available,1.0.8,2026-07-01,unavailable,,,2025-12-05,,https://apkpure.com/ergobalance/com.jiecang.dreamask.app.android.bed,1.0.8,,google_play_only,
com.jiecang.dreamotion.app.android.bed,Dream Motion,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.dreamotion.app.android.bed,likely_bed_app,package or title contains a bed-control indicator,available,1.0.5,2026-04-13,available,1.0.5,11,2026-05-21,arm64-v8a,https://apkpure.com/dream-motion/com.jiecang.dreamotion.app.android.bed,1.0.5,11,matched,
com.jiecang.wheelchair,iwheel,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.wheelchair,not_bed_app,wheelchair controller,available,1.0.1,2026-07-03,not_found,,,,,,1.0.1,,google_play_only,
com.keeson.ergopowercommand,Ergo Power Command,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.ergopowercommand,not_bed_app,user-confirmed non-bed app,available,2.5,2024-06-03,available,2.5,17,2024-07-14,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,https://apkpure.com/ergo-power-command/com.keeson.ergopowercommand,2.5,17,matched,
com.keeson.idealbed6iremote,iDealBed 6i Adjustable,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.keeson.idealbed6iremote,likely_bed_app,package or title contains a bed-control indicator,available,1.2.0,2026-03-18,available,1.2.0,11,2026-05-18,universal,https://apkpure.com/idealbed-6i-adjustable/com.keeson.idealbed6iremote,1.2.0,11,matched,
com.keeson.rondurewifi,Ronin WiFi,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.keeson.rondurewifi,not_bed_app,user-confirmed non-bed app,available,1.3.0,2026-03-17,available,1.3.0,23,2026-05-02,universal,https://apkpure.com/ronin-wifi/com.keeson.rondurewifi,1.3.0,23,matched,
com.keeson.smartbed,Ergo WiFi,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.smartbed,not_bed_app,user-confirmed non-bed app,available,1.33,2022-09-23,available,1.33,33,2022-09-28,arm64-v8a; armeabi-v7a,https://apkpure.com/ergo-wifi/com.keeson.smartbed,1.33,33,matched,
