package_id,application_names,local_version_name,local_version_code,local_architectures,play_status,play_version,play_updated,play_developer,play_url,play_availability,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,latest_release_date,latest_architectures,latest_source,cross_check,classification,blocker,lookup_date
air.no.jensen.adjustablesleep,Adjustable,17.01.052,17001052,armeabi-v7a,available,2.0.29,2024-08-12,Jensen Beds,https://play.google.com/store/apps/details?id=air.no.jensen.adjustablesleep&hl=en&gl=us,{},available,17.01.052,17001052,2024-08-12,armeabi-v7a,https://apkpure.com/adjustable-sleep/air.no.jensen.adjustablesleep,2.0.29,,2024-08-12,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 2.0.29; APKPure reports 17.01.052,2026-07-14
cn.com.mancini,Ergomotion Sync,1.0.2,4,,available,1.0.5,2025-12-20,Ergomotion,https://play.google.com/store/apps/details?id=cn.com.mancini&hl=en&gl=us,{},available,1.0.2,4,2024-09-06,universal,https://apkpure.com/ergomotion-sync/cn.com.mancini,1.0.5,,2025-12-20,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.5; APKPure reports 1.0.2,2026-07-14
cn.com.somos,Somos,1.0.0,1,,available,1.0.0,2025-02-27,Ergomotion,https://play.google.com/store/apps/details?id=cn.com.somos&hl=en&gl=us,{},available,1.0.0,1,2025-03-05,universal,https://apkpure.com/somosbeds/cn.com.somos,1.0.0,1,2025-03-05,universal,APKPure,matched,current,,2026-07-14
com.BF,La Cloud,1.2.3,11,,available,1.2.3,2020-04-06,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.BF&hl=en&gl=us,{},available,1.2.3,11,2022-02-03,universal,https://apkpure.com/la-cloud-%EB%9D%BC%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%A0%84%EB%8F%99%EC%B9%A8%EB%8C%80/com.BF,1.2.3,11,2022-02-03,universal,APKPure,matched,current,,2026-07-14
com.HHC.MotoSleep,MotoSleep,5.0.6,2026010401,arm64-v8a,available,5.1.5,2026-07-10,MotoMotion China Corporation,https://play.google.com/store/apps/details?id=com.HHC.MotoSleep&hl=en&gl=us,{},available,5.1.3,2026060802,2026-06-17,arm64-v8a; armeabi-v7a,https://apkpure.com/motosleep/com.HHC.MotoSleep,5.1.5,,2026-07-10,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 5.1.5; APKPure reports 5.1.3,2026-07-14
com.HHC.PowerBob,Power Bob,2.0.3,2025061101,arm64-v8a; armeabi-v7a; x86_64,available,2.0.3,2025-06-11,MotoMotion China Corporation,https://play.google.com/store/apps/details?id=com.HHC.PowerBob&hl=en&gl=us,{},available,2.0.3,2025061101,2025-09-30,arm64-v8a; armeabi-v7a; x86_64,https://apkpure.com/power-bob-for-adjustable-bed/com.HHC.PowerBob,2.0.3,2025061101,2025-09-30,arm64-v8a; armeabi-v7a; x86_64,APKPure,matched,current,,2026-07-14
com.bedding.monitor.sleep_monitor.release,OKIN SMART SLEEP,2.4.9,263,arm64-v8a,available,2.4.9,2025-08-07,DewertOkin Technology,https://play.google.com/store/apps/details?id=com.bedding.monitor.sleep_monitor.release&hl=en&gl=us,{},available,2.4.9,263,2025-11-15,arm64-v8a; armeabi-v7a,https://apkpure.com/okin-smart-sleep/com.bedding.monitor.sleep_monitor.release,2.4.9,263,2025-11-15,arm64-v8a; armeabi-v7a,APKPure,matched,current,,2026-07-14
com.bedjet,BedJet,1.0.6,18,,available,1.0.6,2025-01-01,BEDJET LLC,https://play.google.com/store/apps/details?id=com.bedjet&hl=en&gl=us,{},available,1.0.6,18,2025-01-09,universal,https://apkpure.com/bedjet-3-smart-remote/com.bedjet,1.0.6,18,2025-01-09,universal,APKPure,matched,current,,2026-07-14
com.bedtech,BedTech,7.1.3,14,arm64-v8a,available,7.1.3,2025-04-23,Bed Tech,https://play.google.com/store/apps/details?id=com.bedtech&hl=en&gl=us,{},available,7.1.3,14,2025-05-28,arm64-v8a,https://apkpure.com/bedtech/com.bedtech,7.1.3,14,2025-05-28,arm64-v8a,APKPure,matched,current,,2026-07-14
com.cheers.brick,The Brick,v1.0,3,,available,v1.0,2025-05-30,"Remacro Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.cheers.brick&hl=en&gl=us,{},removed,,,,,,v1.0,,2025-05-30,,Google Play,google_play_only,current,APKPure has no current listing,2026-07-14
com.cheers.jewmes,Jeromes,v1.202112141512,20,,available,v1.202112141512,2025-02-10,"Remacro Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.cheers.jewmes&hl=en&gl=us,{},available,v1.202112141512,20,2025-03-15,universal,https://apkpure.com/jeromes/com.cheers.jewmes,v1.202112141512,20,2025-03-15,universal,APKPure,matched,current,,2026-07-14
com.cheers.slumber,slumberland,v1.0,2,,available,v1.0,2025-05-30,"Remacro Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.cheers.slumber&hl=en&gl=us,{},available,v1.0,2,2025-07-13,universal,https://apkpure.com/slumberland/com.cheers.slumber,v1.0,2,2025-07-13,universal,APKPure,matched,current,,2026-07-14
com.desarketing.gmmotor,GM Bed Control; GM Control,4.6.0,46001,arm64-v8a; armeabi-v7a; x86; x86_64,available,4.6.6,2026-06-16,Germany SA,https://play.google.com/store/apps/details?id=com.desarketing.gmmotor&hl=en&gl=us,{},available,4.6.6,46600,,arm64-v8a; armeabi-v7a,https://apkpure.com/germany-motions-gm-bed-control/com.desarketing.gmmotor,4.6.6,46600,,arm64-v8a; armeabi-v7a,APKPure,matched,outdated,,2026-07-14
com.dewertokin.okinsmartcomfort,FurniMove,2.0.1,18,,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,2.0.1,18,2022-09-19,universal,https://apkpure.com/furnimove/com.dewertokin.okinsmartcomfort,2.0.1,18,2022-09-19,universal,APKPure,apkpure_only,current,,2026-07-14
