RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
62211;RF HS-Elegance N silver - black, 17 Button Quadro;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
62612;RF HS-Elegance N black - red 17 Button Quadro;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
63293;RF HS-Classic N, 6 Button, black;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
63338;RF HS-Deluxe N, 8 Button, black;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
63365;RF HS-Elegance N black - silver, 17 Button Quadro;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
65418;RF HS-Elegance N silver - black 15 Button Trio Neck Rest;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
65433;RF HS-Elegance N silver - black, 13 Button;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
65567;RF HS-Elegance T silver - black;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;n;n;y;n;y;y;y;y;y;y;n;n;n;y;n;n
68036;RF-SYSTEM/SW/6/1476/2400MHZ;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
71852;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
71853;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
73591;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
73593;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
74130;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
74131;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
75225;RF-SYSTEM/SW/ST/6/1476/2400MHZ;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
75267;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
75268;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
